customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,Contract,PaymentMethod,InternetService,MonthlyCharges,TotalCharges,Churn,Probabilidad_Churn,Segmento_Riesgo,Ingreso_Mensual_En_Riesgo
8665-UTDHZ,1,0,1,1,1,0-12 meses,Month-to-month,Electronic check,DSL,30.2,30.2,Yes,0.6931,Alto,30.2
5248-YGIJN,1,0,1,0,72,49-72 meses,Two year,Credit card (automatic),DSL,90.25,6369.45,No,0.0281,Bajo,0.0
8773-HHUOZ,0,0,0,1,17,13-24 meses,Month-to-month,Mailed check,DSL,64.7,1093.1,Yes,0.4767,Medio,0.0
3841-NFECX,0,1,1,0,71,49-72 meses,Two year,Credit card (automatic),Fiber optic,96.35,6766.95,No,0.1251,Bajo,0.0
4929-XIHVW,1,1,1,0,2,0-12 meses,Month-to-month,Credit card (automatic),Fiber optic,95.5,181.65,No,0.8284,Alto,95.5
6827-IEAUQ,0,0,1,1,27,25-48 meses,One year,Mailed check,DSL,66.15,1874.45,No,0.1896,Bajo,0.0
7310-EGVHZ,1,0,0,0,1,0-12 meses,Month-to-month,Bank transfer (automatic),No,20.2,20.2,No,0.5227,Medio,0.0
3413-BMNZE,1,1,0,0,1,0-12 meses,Month-to-month,Bank transfer (automatic),DSL,45.25,45.25,No,0.7323,Alto,45.25
6234-RAAPL,0,0,1,1,72,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,99.9,7251.7,No,0.1127,Bajo,0.0
6047-YHPVI,1,0,0,0,5,0-12 meses,Month-to-month,Electronic check,Fiber optic,69.7,316.9,Yes,0.8221,Alto,69.7
6572-ADKRS,0,0,0,0,46,25-48 meses,Month-to-month,Credit card (automatic),Fiber optic,74.8,3548.3,No,0.4691,Medio,0.0
5380-WJKOV,1,0,0,0,34,25-48 meses,Month-to-month,Electronic check,Fiber optic,106.35,3549.25,Yes,0.6938,Alto,106.35
8168-UQWWF,0,0,0,0,11,0-12 meses,Month-to-month,Bank transfer (automatic),Fiber optic,97.85,1105.4,Yes,0.8402,Alto,97.85
8865-TNMNX,1,0,1,1,10,0-12 meses,One year,Mailed check,DSL,49.55,475.7,No,0.3666,Medio,0.0
9489-DEDVP,0,0,1,1,70,49-72 meses,Two year,Credit card (automatic),DSL,69.2,4872.35,No,0.0851,Bajo,0.0
9867-JCZSP,0,0,1,1,17,13-24 meses,One year,Mailed check,No,20.75,418.25,No,0.0863,Bajo,0.0
4671-VJLCL,0,0,0,0,63,49-72 meses,Two year,Credit card (automatic),DSL,79.85,4861.45,No,0.0928,Bajo,0.0
4080-IIARD,0,0,1,0,13,13-24 meses,Month-to-month,Electronic check,DSL,76.2,981.45,No,0.5006,Medio,0.0
3714-NTNFO,0,0,0,0,49,49-72 meses,Month-to-month,Electronic check,Fiber optic,84.5,3906.7,No,0.6648,Alto,84.5
5948-UJZLF,1,0,0,0,2,0-12 meses,Month-to-month,Mailed check,DSL,49.25,97.0,No,0.6573,Alto,49.25
7760-OYPDY,0,0,0,0,2,0-12 meses,Month-to-month,Electronic check,Fiber optic,80.65,144.15,Yes,0.8649,Alto,80.65
7639-LIAYI,1,0,0,0,52,49-72 meses,Two year,Credit card (automatic),DSL,79.75,4217.8,No,0.1016,Bajo,0.0
2954-PIBKO,0,0,1,1,69,49-72 meses,Two year,Credit card (automatic),DSL,64.15,4254.1,No,0.066,Bajo,0.0
8012-SOUDQ,0,1,0,0,43,25-48 meses,Month-to-month,Electronic check,Fiber optic,90.25,3838.75,No,0.6633,Alto,90.25
9420-LOJKX,0,0,0,0,15,13-24 meses,Month-to-month,Credit card (automatic),Fiber optic,99.1,1426.4,Yes,0.6757,Alto,99.1
6575-SUVOI,0,1,1,0,25,25-48 meses,Month-to-month,Credit card (automatic),DSL,69.5,1752.65,No,0.2616,Bajo,0.0
7495-OOKFY,0,1,1,0,8,0-12 meses,Month-to-month,Credit card (automatic),Fiber optic,80.65,633.3,Yes,0.8038,Alto,80.65
4667-QONEA,0,1,1,1,60,49-72 meses,One year,Credit card (automatic),DSL,74.85,4456.35,No,0.2004,Bajo,0.0
1658-BYGOY,1,1,0,0,18,13-24 meses,Month-to-month,Electronic check,Fiber optic,95.45,1752.55,Yes,0.803,Alto,95.45
8769-KKTPH,0,0,1,1,63,49-72 meses,One year,Credit card (automatic),Fiber optic,99.65,6311.2,No,0.3696,Medio,0.0
5067-XJQFU,1,1,1,1,66,49-72 meses,One year,Electronic check,Fiber optic,108.45,7076.35,No,0.4513,Medio,0.0
3957-SQXML,0,0,1,1,34,25-48 meses,Two year,Credit card (automatic),No,24.95,894.3,No,0.0512,Bajo,0.0
5954-BDFSG,0,0,0,0,72,49-72 meses,Two year,Credit card (automatic),Fiber optic,107.5,7853.7,No,0.1983,Bajo,0.0
0434-CSFON,0,0,1,0,47,25-48 meses,Month-to-month,Electronic check,Fiber optic,100.5,4707.1,No,0.6745,Alto,100.5
1215-FIGMP,1,0,0,0,60,49-72 meses,Month-to-month,Bank transfer (automatic),Fiber optic,89.9,5450.7,No,0.4645,Medio,0.0
0526-SXDJP,1,0,1,0,72,49-72 meses,Two year,Bank transfer (automatic),DSL,42.1,2962.0,No,0.092,Bajo,0.0
0557-ASKVU,0,0,1,1,18,13-24 meses,One year,Credit card (automatic),DSL,54.4,957.1,No,0.3331,Medio,0.0
5698-BQJOH,0,0,0,0,9,0-12 meses,Month-to-month,Electronic check,Fiber optic,94.4,857.25,Yes,0.8442,Alto,94.4
5122-CYFXA,0,0,0,0,3,0-12 meses,Month-to-month,Electronic check,DSL,75.3,244.1,No,0.6736,Alto,75.3
8627-ZYGSZ,1,0,1,0,47,25-48 meses,One year,Electronic check,Fiber optic,78.9,3650.35,No,0.4467,Medio,0.0
3410-YOQBQ,0,0,0,0,31,25-48 meses,Two year,Mailed check,DSL,79.2,2497.2,No,0.1237,Bajo,0.0
3170-NMYVV,0,0,1,1,50,49-72 meses,Two year,Bank transfer (automatic),No,20.15,930.9,No,0.0286,Bajo,0.0
7410-OIEDU,1,0,0,0,10,0-12 meses,Month-to-month,Mailed check,Fiber optic,79.85,887.35,No,0.681,Alto,79.85
2273-QCKXA,1,0,0,0,1,0-12 meses,Month-to-month,Mailed check,DSL,49.05,49.05,No,0.6471,Alto,49.05
0731-EBJQB,0,0,1,1,52,49-72 meses,One year,Electronic check,No,20.4,1090.65,No,0.0833,Bajo,0.0
1891-QRQSA,1,1,1,1,64,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,111.6,7099.0,No,0.2606,Bajo,0.0
8028-PNXHQ,1,0,1,1,62,49-72 meses,Two year,Bank transfer (automatic),No,24.25,1424.6,No,0.0208,Bajo,0.0
5630-AHZIL,0,0,0,1,3,0-12 meses,Month-to-month,Bank transfer (automatic),DSL,64.5,177.4,No,0.4996,Medio,0.0
2673-CXQEU,0,1,0,0,56,49-72 meses,One year,Electronic check,Fiber optic,110.5,6139.5,No,0.4089,Medio,0.0
6416-JNVRK,0,0,0,0,46,25-48 meses,One year,Credit card (automatic),DSL,55.65,2688.85,No,0.2593,Bajo,0.0
5590-ZSKRV,0,0,1,1,8,0-12 meses,Month-to-month,Mailed check,DSL,54.65,482.25,No,0.3797,Medio,0.0
0191-ZHSKZ,1,1,0,0,30,25-48 meses,Month-to-month,Electronic check,DSL,74.75,2111.3,No,0.4211,Medio,0.0
3887-PBQAO,0,0,1,1,45,25-48 meses,One year,Credit card (automatic),No,25.9,1216.6,No,0.0752,Bajo,0.0
5919-TMRGD,0,0,0,1,1,0-12 meses,Month-to-month,Electronic check,Fiber optic,79.35,79.35,Yes,0.8935,Alto,79.35
8108-UXRQN,0,0,1,1,11,0-12 meses,Month-to-month,Electronic check,DSL,50.55,565.35,No,0.4981,Medio,0.0
9191-MYQKX,0,0,1,0,7,0-12 meses,Month-to-month,Bank transfer (automatic),Fiber optic,75.15,496.9,Yes,0.8071,Alto,75.15
9919-YLNNG,0,0,0,0,42,25-48 meses,Month-to-month,Bank transfer (automatic),Fiber optic,103.8,4327.5,No,0.5041,Medio,0.0
0318-ZOPWS,0,0,1,0,49,49-72 meses,Two year,Bank transfer (automatic),No,20.15,973.35,No,0.0413,Bajo,0.0
4445-ZJNMU,1,0,0,0,9,0-12 meses,Month-to-month,Credit card (automatic),Fiber optic,99.3,918.75,No,0.8353,Alto,99.3
4808-YNLEU,0,0,1,0,35,25-48 meses,One year,Bank transfer (automatic),DSL,62.15,2215.45,No,0.1988,Bajo,0.0
1862-QRWPE,0,0,1,1,48,25-48 meses,Two year,Bank transfer (automatic),No,20.65,1057.0,No,0.0222,Bajo,0.0
2796-NNUFI,0,0,1,1,46,25-48 meses,Two year,Mailed check,No,19.95,927.1,No,0.0378,Bajo,0.0
3016-KSVCP,1,0,1,0,29,25-48 meses,Month-to-month,Mailed check,DSL,33.75,1009.25,No,0.4066,Medio,0.0
4767-HZZHQ,1,0,1,1,30,25-48 meses,Month-to-month,Bank transfer (automatic),Fiber optic,82.05,2570.2,No,0.4707,Medio,0.0
2424-WVHPL,1,1,0,0,1,0-12 meses,Month-to-month,Electronic check,Fiber optic,74.7,74.7,No,0.7932,Alto,74.7
7233-PAHHL,1,0,1,1,66,49-72 meses,Two year,Mailed check,DSL,84.0,5714.25,No,0.0642,Bajo,0.0
6067-NGCEU,0,0,0,0,65,49-72 meses,Month-to-month,Credit card (automatic),Fiber optic,111.05,7107.0,No,0.3785,Medio,0.0
9848-JQJTX,1,0,0,0,72,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,100.9,7459.05,No,0.2692,Bajo,0.0
8637-XJIVR,0,0,0,0,12,0-12 meses,Month-to-month,Electronic check,Fiber optic,78.95,927.35,Yes,0.7372,Alto,78.95
9803-FTJCG,1,0,1,1,71,49-72 meses,One year,Credit card (automatic),DSL,66.85,4748.7,No,0.1323,Bajo,0.0
0278-YXOOG,1,0,0,0,5,0-12 meses,Month-to-month,Mailed check,No,21.05,113.85,Yes,0.2518,Bajo,0.0
3212-KXOCR,1,0,0,0,52,49-72 meses,Two year,Bank transfer (automatic),No,21.0,1107.2,No,0.0491,Bajo,0.0
4598-XLKNJ,0,1,1,0,25,25-48 meses,Month-to-month,Electronic check,Fiber optic,98.5,2514.5,Yes,0.7354,Alto,98.5
6380-ARCEH,1,0,0,0,1,0-12 meses,Month-to-month,Mailed check,No,20.2,20.2,No,0.5594,Medio,0.0
3679-XASPY,0,0,1,1,1,0-12 meses,Month-to-month,Electronic check,No,19.45,19.45,No,0.4384,Medio,0.0
7123-WQUHX,1,0,0,0,38,25-48 meses,One year,Bank transfer (automatic),Fiber optic,95.0,3605.6,No,0.3502,Medio,0.0
5386-THSLQ,0,1,1,0,66,49-72 meses,One year,Bank transfer (automatic),DSL,45.55,3027.25,No,0.2752,Bajo,0.0
3192-NQECA,1,0,1,0,68,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,110.0,7611.85,Yes,0.3276,Medio,0.0
6180-YBIQI,1,0,0,0,5,0-12 meses,Month-to-month,Mailed check,DSL,24.3,100.2,No,0.6411,Alto,24.3
6728-DKUCO,0,0,1,1,72,49-72 meses,One year,Electronic check,Fiber optic,104.15,7303.05,No,0.3444,Medio,0.0
9750-BOOHV,0,0,0,0,32,25-48 meses,One year,Mailed check,DSL,30.15,927.65,No,0.2415,Bajo,0.0
8597-CWYHH,1,0,0,0,43,25-48 meses,One year,Mailed check,Fiber optic,94.35,3921.3,No,0.4522,Medio,0.0
2848-YXSMW,1,0,1,1,72,49-72 meses,Two year,Credit card (automatic),No,19.4,1363.25,No,0.0228,Bajo,0.0
0486-HECZI,1,0,1,0,55,49-72 meses,Month-to-month,Electronic check,Fiber optic,96.75,5238.9,Yes,0.539,Medio,0.0
4549-ZDQYY,0,0,0,0,52,49-72 meses,One year,Credit card (automatic),DSL,57.95,3042.25,No,0.137,Bajo,0.0
5712-AHQNN,0,0,0,0,43,25-48 meses,Month-to-month,Electronic check,Fiber optic,91.65,3954.1,No,0.5806,Medio,0.0
4846-WHAFZ,0,1,1,0,37,25-48 meses,Month-to-month,Electronic check,Fiber optic,76.5,2868.15,Yes,0.6989,Alto,76.5
5256-SKJGO,0,0,1,1,64,49-72 meses,Two year,Electronic check,DSL,54.6,3423.5,No,0.1673,Bajo,0.0
3071-VBYPO,1,0,1,1,3,0-12 meses,Month-to-month,Electronic check,Fiber optic,89.85,248.4,No,0.68,Alto,89.85
9560-BBZXK,0,0,0,0,36,25-48 meses,Two year,Bank transfer (automatic),DSL,31.05,1126.35,No,0.186,Bajo,0.0
5299-RULOA,0,0,1,1,10,0-12 meses,Month-to-month,Electronic check,Fiber optic,100.25,1064.65,Yes,0.8208,Alto,100.25
8402-OOOHJ,0,0,0,0,41,25-48 meses,Two year,Mailed check,No,20.65,835.15,No,0.0334,Bajo,0.0
9445-ZUEQE,1,0,1,1,27,25-48 meses,Month-to-month,Credit card (automatic),Fiber optic,85.2,2151.6,No,0.4953,Medio,0.0
1091-SOZGA,0,0,1,1,56,49-72 meses,One year,Credit card (automatic),Fiber optic,99.8,5515.45,No,0.4075,Medio,0.0
2928-HLDBA,0,0,0,0,6,0-12 meses,Month-to-month,Mailed check,No,20.7,112.75,No,0.2387,Bajo,0.0
0404-SWRVG,1,0,0,0,3,0-12 meses,Month-to-month,Electronic check,Fiber optic,74.4,229.55,Yes,0.8603,Alto,74.4
6497-TILVL,0,0,1,1,7,0-12 meses,Month-to-month,Mailed check,DSL,50.7,350.35,No,0.4316,Medio,0.0
7219-TLZHO,0,0,1,1,4,0-12 meses,Month-to-month,Mailed check,No,20.85,62.9,No,0.2495,Bajo,0.0
4622-YNKIJ,1,0,0,0,33,25-48 meses,Two year,Electronic check,Fiber optic,88.95,3027.65,No,0.3254,Medio,0.0
4412-YLTKF,0,1,0,0,27,25-48 meses,Month-to-month,Electronic check,Fiber optic,78.05,2135.5,Yes,0.7001,Alto,78.05
6734-PSBAW,1,0,1,0,72,49-72 meses,Two year,Bank transfer (automatic),No,23.55,1723.95,No,0.0295,Bajo,0.0
3930-ZGWVE,1,0,0,0,1,0-12 meses,Month-to-month,Mailed check,No,19.75,19.75,No,0.5339,Medio,0.0
2639-UGMAZ,1,1,0,0,71,49-72 meses,One year,Electronic check,DSL,56.45,3985.35,No,0.295,Bajo,0.0
2876-GZYZC,0,0,0,0,13,13-24 meses,Month-to-month,Electronic check,Fiber optic,85.95,1215.65,No,0.8067,Alto,85.95
6207-WIOLX,0,0,1,1,25,25-48 meses,Month-to-month,Credit card (automatic),DSL,58.6,1502.65,Yes,0.3527,Medio,0.0
8587-XYZSF,1,0,0,0,67,49-72 meses,Two year,Bank transfer (automatic),DSL,50.55,3260.1,No,0.1031,Bajo,0.0
3091-FYHKI,1,0,0,0,1,0-12 meses,Month-to-month,Electronic check,DSL,35.45,35.45,Yes,0.8259,Alto,35.45
2372-HWUHI,1,0,0,0,2,0-12 meses,Month-to-month,Electronic check,DSL,44.35,81.25,Yes,0.7497,Alto,44.35
7799-LGRDP,0,0,0,0,43,25-48 meses,Two year,Credit card (automatic),No,25.7,1188.2,No,0.0776,Bajo,0.0
7850-VWJUU,0,0,0,0,23,13-24 meses,Month-to-month,Bank transfer (automatic),Fiber optic,75.0,1778.5,No,0.5202,Medio,0.0
3774-VBNXY,0,0,1,1,64,49-72 meses,Two year,Mailed check,No,20.2,1277.75,No,0.0235,Bajo,0.0
6217-KDYWC,1,0,0,1,57,49-72 meses,Two year,Mailed check,No,19.6,1170.55,No,0.076,Bajo,0.0
0390-DCFDQ,0,1,1,0,1,0-12 meses,Month-to-month,Mailed check,Fiber optic,70.45,70.45,Yes,0.8703,Alto,70.45
3146-MSEGF,0,1,1,1,72,49-72 meses,Two year,Credit card (automatic),DSL,88.05,6425.65,No,0.0494,Bajo,0.0
4080-OGPJL,0,0,0,0,8,0-12 meses,Month-to-month,Electronic check,DSL,71.15,563.65,Yes,0.56,Medio,0.0
1095-WGNGG,0,0,1,0,61,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,101.05,5971.25,No,0.2966,Bajo,0.0
2636-SJDOU,1,0,0,0,64,49-72 meses,One year,Credit card (automatic),Fiber optic,84.3,5289.05,No,0.2828,Bajo,0.0
1131-QQZEB,1,1,1,0,71,49-72 meses,Two year,Bank transfer (automatic),No,23.95,1756.2,No,0.0306,Bajo,0.0
5716-EZXZN,0,0,1,1,65,49-72 meses,Two year,Credit card (automatic),Fiber optic,99.05,6416.7,No,0.163,Bajo,0.0
6837-BJYDQ,1,0,0,0,3,0-12 meses,One year,Mailed check,No,19.6,61.35,No,0.1326,Bajo,0.0
2135-RXIHG,1,0,0,0,1,0-12 meses,Month-to-month,Electronic check,DSL,45.65,45.65,Yes,0.802,Alto,45.65
6440-DKQGE,1,0,0,1,30,25-48 meses,One year,Credit card (automatic),DSL,64.5,1929.95,No,0.2548,Bajo,0.0
3466-BYAVD,1,0,1,1,15,13-24 meses,Month-to-month,Mailed check,DSL,69.5,1071.4,No,0.406,Medio,0.0
3780-YVMFA,0,0,1,1,8,0-12 meses,Month-to-month,Electronic check,DSL,68.55,564.35,No,0.5666,Medio,0.0
3874-EQOEP,1,0,0,0,7,0-12 meses,Month-to-month,Mailed check,Fiber optic,95.0,655.5,Yes,0.8274,Alto,95.0
1679-JRFBR,0,0,1,1,70,49-72 meses,One year,Credit card (automatic),Fiber optic,108.15,7930.55,No,0.2914,Bajo,0.0
9073-ZZIAY,1,0,1,1,62,49-72 meses,Two year,Electronic check,DSL,86.1,5215.25,No,0.1152,Bajo,0.0
3077-RSNTJ,0,0,1,1,6,0-12 meses,Month-to-month,Mailed check,No,19.7,113.5,No,0.2141,Bajo,0.0
6551-GNYDG,0,0,1,1,14,13-24 meses,Month-to-month,Bank transfer (automatic),Fiber optic,80.9,1152.8,No,0.7243,Alto,80.9
9167-APMXZ,0,0,0,0,22,13-24 meses,Month-to-month,Bank transfer (automatic),Fiber optic,84.15,1821.95,No,0.6447,Alto,84.15
2749-CTKAJ,1,0,1,1,22,13-24 meses,One year,Mailed check,No,20.15,419.9,No,0.0487,Bajo,0.0
6371-NZYEG,1,0,1,1,16,13-24 meses,Two year,Mailed check,DSL,64.25,1024.0,No,0.187,Bajo,0.0
7554-NEWDD,1,0,0,0,10,0-12 meses,Two year,Bank transfer (automatic),No,25.7,251.6,No,0.1418,Bajo,0.0
8992-VONJD,0,0,0,1,13,13-24 meses,Month-to-month,Electronic check,DSL,56.0,764.55,No,0.4598,Medio,0.0
0867-MKZVY,0,0,1,0,20,13-24 meses,Month-to-month,Electronic check,Fiber optic,82.4,1592.35,Yes,0.626,Alto,82.4
4482-EWFMI,0,0,0,0,2,0-12 meses,Month-to-month,Electronic check,Fiber optic,69.7,135.2,No,0.8329,Alto,69.7
4648-YPBTM,1,0,0,0,53,49-72 meses,Two year,Bank transfer (automatic),DSL,73.9,3958.25,No,0.0959,Bajo,0.0
2907-ILJBN,0,0,1,1,11,0-12 meses,One year,Mailed check,No,20.6,233.9,No,0.128,Bajo,0.0
6345-FZOQH,1,0,1,0,69,49-72 meses,Two year,Mailed check,No,19.9,1363.45,No,0.033,Bajo,0.0
3376-BMGFE,0,0,0,0,4,0-12 meses,Month-to-month,Bank transfer (automatic),Fiber optic,70.9,273.0,Yes,0.8279,Alto,70.9
5997-OPVFA,1,0,1,0,72,49-72 meses,Two year,Bank transfer (automatic),DSL,89.05,6254.45,No,0.027,Bajo,0.0
3445-HXXGF,1,1,1,0,58,49-72 meses,Month-to-month,Electronic check,DSL,45.3,2651.2,Yes,0.5044,Medio,0.0
1159-WFSGR,0,0,1,1,16,13-24 meses,Month-to-month,Electronic check,No,20.4,321.4,No,0.1839,Bajo,0.0
7654-YWJUF,1,0,1,0,43,25-48 meses,One year,Bank transfer (automatic),Fiber optic,84.25,3539.25,No,0.3024,Medio,0.0
1875-QIVME,0,0,1,0,2,0-12 meses,Month-to-month,Electronic check,Fiber optic,104.4,242.8,Yes,0.8477,Alto,104.4
6727-IOTLZ,1,0,1,0,14,13-24 meses,Two year,Mailed check,DSL,81.95,1181.75,No,0.2465,Bajo,0.0
0691-JVSYA,0,0,1,0,53,49-72 meses,One year,Bank transfer (automatic),Fiber optic,94.85,5000.2,Yes,0.4391,Medio,0.0
5918-VUKWP,0,0,0,0,32,25-48 meses,One year,Bank transfer (automatic),No,20.55,654.55,No,0.0807,Bajo,0.0
1744-JHKYS,0,0,1,0,34,25-48 meses,Month-to-month,Electronic check,No,24.7,780.2,No,0.1381,Bajo,0.0
2656-FMOKZ,0,1,0,0,15,13-24 meses,Month-to-month,Mailed check,Fiber optic,74.45,1145.7,Yes,0.7308,Alto,74.45
2070-FNEXE,0,1,0,0,7,0-12 meses,Month-to-month,Bank transfer (automatic),Fiber optic,76.45,503.6,Yes,0.6706,Alto,76.45
5947-SGKCL,0,0,1,1,15,13-24 meses,Month-to-month,Bank transfer (automatic),Fiber optic,105.35,1559.25,No,0.6991,Alto,105.35
3712-PKXZA,1,0,1,0,61,49-72 meses,One year,Credit card (automatic),No,20.55,1252.0,No,0.0667,Bajo,0.0
6317-YPKDH,0,0,0,0,1,0-12 meses,Month-to-month,Bank transfer (automatic),DSL,29.95,29.95,Yes,0.673,Alto,29.95
6582-OIVSP,0,0,0,0,1,0-12 meses,Month-to-month,Mailed check,DSL,45.3,45.3,No,0.7201,Alto,45.3
9367-WXLCH,1,0,0,0,8,0-12 meses,Month-to-month,Bank transfer (automatic),Fiber optic,84.5,662.65,Yes,0.8004,Alto,84.5
5524-KHNJP,1,0,1,1,33,25-48 meses,One year,Credit card (automatic),DSL,74.75,2453.3,No,0.2457,Bajo,0.0
1918-ZBFQJ,0,0,0,0,13,13-24 meses,Month-to-month,Electronic check,Fiber optic,79.25,1111.65,Yes,0.7824,Alto,79.25
1024-GUALD,0,0,1,0,1,0-12 meses,Month-to-month,Electronic check,DSL,24.8,24.8,Yes,0.7944,Alto,24.8
4827-USJHP,1,0,0,0,20,13-24 meses,Month-to-month,Mailed check,DSL,51.8,1023.85,No,0.4359,Medio,0.0
8167-GJLRN,1,0,0,0,3,0-12 meses,Month-to-month,Electronic check,DSL,30.4,82.15,No,0.6629,Alto,30.4
0956-SYCWG,0,0,0,0,13,13-24 meses,One year,Electronic check,No,19.65,244.8,No,0.1546,Bajo,0.0
8017-UVSZU,0,0,1,0,40,25-48 meses,Month-to-month,Credit card (automatic),DSL,56.6,2379.1,No,0.3051,Medio,0.0
7100-FQPRV,1,0,1,1,43,25-48 meses,One year,Credit card (automatic),DSL,71.9,3173.35,No,0.202,Bajo,0.0
2472-OVKUP,1,0,1,0,6,0-12 meses,Month-to-month,Electronic check,Fiber optic,91.0,531.0,Yes,0.8476,Alto,91.0
2984-RGEYA,0,0,1,1,69,49-72 meses,Two year,Bank transfer (automatic),No,19.75,1375.4,No,0.0258,Bajo,0.0
9680-NIAUV,0,0,1,1,72,49-72 meses,Two year,Credit card (automatic),Fiber optic,109.7,8129.3,No,0.1036,Bajo,0.0
2146-EGVDT,1,0,1,1,59,49-72 meses,Two year,Credit card (automatic),No,19.3,1192.7,No,0.037,Bajo,0.0
2604-IJPDU,0,0,1,0,20,13-24 meses,Month-to-month,Electronic check,Fiber optic,96.55,1901.65,No,0.6381,Alto,96.55
9178-JHUVJ,1,0,1,1,24,13-24 meses,Two year,Bank transfer (automatic),No,24.1,587.4,No,0.0637,Bajo,0.0
6168-YBYNP,1,0,0,0,59,49-72 meses,Month-to-month,Electronic check,Fiber optic,111.35,6519.75,No,0.5399,Medio,0.0
7255-SSFBC,1,0,1,1,72,49-72 meses,Two year,Bank transfer (automatic),Fiber optic,112.25,8041.65,No,0.1742,Bajo,0.0
3645-DEYGF,1,0,0,1,1,0-12 meses,Month-to-month,Mailed check,No,20.75,20.75,No,0.463,Medio,0.0
